FishID,pop,sex,habitat_temp,pair,state,subgroup,latitude,accl_order,wam_date12,wam_length12,wam_mass12,tenth_perc_MO2_mg_hr12,tenth_perc_MO2_mg_hr_kg12,wam_date28,wam_length28,wam_mass28,tenth_perc_MO2_mg_hr28,tenth_perc_MO2_mg_hr_kg28,ctmax_length12,ctmax_mass12,ctmax_date12,ctmax12,ctmax_length28,ctmax_mass28,ctmax_date28,ctmax28,cam_date,cam_length,cam_mass,heart_mass,Glucose_MR_pmol_s12,FA_MR_pmol_s12,LKA_MR_pmol_s12,Endogenous_MR_pmol_s12,Glucose_MR_pmol_s28,FA_MR_pmol_s28,LKA_MR_pmol_s28,Endogenous_MR_pmol_s28
O2G5O6,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/9/19,64,7.3,5.913915599,0.000810125,NA,NA,NA,NA,NA,64,7.3,5/14/19,32.48,66,6.8,6/25/19,41.72,7/24/19,69,7.8,0.008,NA,NA,NA,NA,31.09387173,19.41355294,8.307183775,8.54078844
R1R2G6,DIME,F,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/9/19,71,12.2,7.059366057,0.000578637,6/11/19,80,9.3,6.44080126,0.000692559,71,12.2,5/15/19,33.91,80,9.3,6/25/19,41.54,7/24/19,82,11.8,0.015,NA,NA,NA,NA,45.08052947,30.84436082,19.07671337,13.03451644
P3P4R5,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/9/19,62,12.6,6.24495691,0.000495632,6/12/19,82,11.7,4.226948162,0.000361278,62,12.6,5/15/19,30.6,82,11.7,6/25/19,40.97,7/25/19,84,14.1,0.016,NA,NA,NA,NA,65.92879069,36.42242075,25.94680749,16.16221043
P2G3P4,OCME,F,18.06903,OCME-PEAME,ME,N,44.421147,12 to 28,4/9/19,62,6.8,4.713941931,0.000693227,6/12/19,65,6.4,5.882189121,0.000919092,62,6.8,5/14/19,33.86,65,6.4,7/2/19,40.94,7/25/19,66,7.1,0.003,NA,NA,NA,NA,46.72260043,32.4727678,26.29938131,13.72322654
G1P2R5,PENME,F,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/11/19,78,12,1.700303777,0.000141692,6/10/19,81,10.4,5.045861111,0.000485179,78,12,5/14/19,33.97,81,10.4,6/24/19,41.6,7/23/19,84,11.4,0.01,NA,NA,NA,NA,47.30757381,26.89987227,26.06263732,9.741959
O1P4P5,PEAME,F,15.63283,OCME-PEAME,ME,N,44.29059,12 to 28,4/11/19,62,8,1.882315171,0.000235289,6/10/19,66,7,5.511006203,0.000787287,62,8,5/15/19,33.32,66,7,6/24/19,41.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1R3G4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/11/19,65,6.2,2.343836408,0.000378038,6/12/19,67,6.1,6.921863223,0.001134732,65,6.2,5/14/19,33.05,67,6.1,6/25/19,41.66,7/25/19,71,7.8,0.007,NA,NA,NA,NA,11.23962967,23.71056917,9.886771485,NA
O1R3R6,RVMA,M,23.49572,RVMA-EHMA,MA,N,41.674169,12 to 28,4/11/19,62,8,1.816999964,0.000227125,6/11/19,75,10.5,6.110220809,0.000581926,62,8,5/14/19,34.69,75,10.5,6/24/19,42.2,7/24/19,80,13,0.011,NA,NA,NA,NA,53.59806063,36.26296935,29.05658983,19.33413069
O1O2R4,DIME,M,16.92318,PENME-DIME,ME,N,44.165011,12 to 28,4/11/19,69,8.2,2.206924335,0.000269137,6/11/19,70,8.4,3.770788071,0.000448903,69,8.2,5/15/19,33.02,70,8.4,6/25/19,41.25,7/24/19,70,9,0.01,NA,NA,NA,NA,54.23853327,38.1035642,36.65091717,28.48879726
R2R4R5,PENME,M,21.35523,PENME-DIME,ME,N,44.4663861,12 to 28,4/11/19,70,8.9,3.626448668,0.000407466,6/10/19,73,8.3,6.556968572,0.000789996,70,8.9,5/14/19,33.51,73,8.3,6/24/19,41.45,7/23/19,72,10.6,0.012,NA,NA,NA,NA,56.68042036,38.03209746,27.31237386,11.82927889
