"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"159","R1G4R6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/19/19",81,11.8,1.643758713,139.3015858,81,11.8,"7/8/19",36.86,"8/1/19",81,12.8,0.018,58.67513908,38.40385897,33.75284424,32.0496879
"160","G1O2P6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/19/19",72,7.4,1.094080792,147.8487557,72,7.4,"7/8/19",36.33,"7/31/19",75,8.9,0.011,27.40706591,18.91285648,25.19487593,24.56088694
"161","O2R5P6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/19/19",55,3.6,0.925277352,257.0214866,55,3.6,"7/9/19",33.75,"8/1/19",59,4,0.008,24.21108201,17.06641366,14.05416303,13.34478585
"162","O1G5R6","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"28 to 12","6/19/19",75,9.5,1.34130752,141.1902653,75,9.5,"7/9/19",36.83,"8/1/19",73,11,0.015,40.57768932,32.20901284,25.19355694,23.33514014
"163","G2O4P5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/19/19",69,6.4,1.195395365,186.7805257,69,6.4,"7/8/19",36.55,"7/31/19",69,7.1,0.012,26.64523145,25.67380378,28.40972998,28.26936742
"165","O2P4G5","RVMA","M",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/19/19",75,10.5,1.442484265,137.3794538,75,10.5,"7/9/19",36.19,"8/1/19",76,11.3,0.023,32.81755679,29.77477987,25.03473668,26.70835642
"166","G3G4O5","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/19/19",65,6.3,1.142949983,181.4206322,65,6.3,"7/8/19",34.85,"7/31/19",66,7,0.012,30.54136861,12.41681165,22.46444129,19.35921768
"167","G1G3G6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/19/19",79,8.7,1.289387347,148.2054421,79,8.7,"7/9/19",35.22,"8/1/19",78,9.6,0.014,38.36444131,23.62766022,30.1950041,29.68115482
"168","O1O5G6","DIME","F",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/19/19",61,5,1.09586511,219.1730221,61,5,"7/9/19",35.75,"8/1/19",66,5.6,0.01,26.90467254,11.65278205,13.32335649,14.0514439
"169","O2O3G4","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/19/19",70,6.3,1.182643627,187.7212106,70,6.3,"7/8/19",36.59,"7/31/19",71,7.4,0.012,26.37426788,16.72042975,23.54476412,23.89261206
"170","P2O4R6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/20/19",73,9.1,1.233407494,135.539285,73,9.1,"7/9/19",35.27,"8/5/19",77,9.5,0.019,36.16412066,24.24838168,22.55332909,22.44142366
"172","G1G2G4","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"28 to 12","6/20/19",76,11.6,1.338949497,115.4266808,76,11.6,"7/9/19",35.42,"8/5/19",76,11.5,0.012,35.6828465,20.21590802,18.5610743,25.52717711
"173","P1P2R4","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"28 to 12","6/20/19",68,8.2,1.29450143,157.8660281,68,8.2,"7/9/19",36.97,"8/5/19",71,9.3,0.012,32.45854583,23.62735778,19.44645428,19.01155209
"174","P2R3G6","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"28 to 12","6/20/19",77,9.5,1.290768369,135.8703546,77,9.5,"7/9/19",36.21,"8/5/19",78,10.8,0.013,34.13308452,39.63247184,23.60039077,22.40281071
"175","O1P2G5","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/20/19",59,4.9,1.218855673,248.7460558,59,4.9,"7/9/19",36.13,"8/5/19",61,5.4,0.007,16.53681446,10.83112014,7.764410512,9.422911796
"176","O1R5P6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/20/19",71,8.5,1.240087317,145.8926255,71,8.5,"7/9/19",34.79,"8/5/19",74,7.1,0.013,29.66268739,9.73335482,20.62637031,11.56412634
"177","P4G5R6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/20/19",65,5.6,1.216181808,217.1753229,65,5.6,"7/9/19",35.43,"8/5/19",66,6.3,0.007,17.5651061,7.290534129,12.97681478,11.10932513
"178","G1G2P3","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/20/19",67,7.6,1.233870868,162.35143,67,7.6,"7/9/19",35.04,"8/5/19",70,7.7,0.011,33.04534616,12.06120237,19.04216858,16.80320348
"179","O1R2O5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/20/19",74,9.8,1.255493102,128.1115411,74,9.8,"7/9/19",35.84,"8/5/19",76,10.6,0.013,39.75742691,23.55271612,17.10704454,19.86221555
"180","P2G4G5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/20/19",70,8.1,1.08064143,133.4125222,70,8.1,"7/9/19",36.57,"8/5/19",72,8.2,0.013,28.42144159,5.226575876,20.40860139,16.39274929
"181","O2R5O6","PEAME","M",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/20/19",63,4.8,1.175245466,244.8428054,63,4.8,"7/9/19",36.8,"8/1/19",61,6,0.007,22.09043941,17.83781587,15.11565335,14.58949505
"183","P1O4G5","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"28 to 12","6/20/19",72,8.9,1.346395903,151.2804385,72,8.9,"7/9/19",36.21,"8/5/19",76,9.5,0.011,26.45778907,24.11603974,20.48313598,15.95551739
"184","P1P2G5","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"28 to 12","6/20/19",71,8.2,1.146323448,139.7955425,71,8.2,"7/9/19",36.1,"8/5/19",74,9.6,0.01,30.97303026,21.80359887,19.96348932,18.47114905
"185","R1R3P5","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"28 to 12","6/20/19",59,4.1,1.037743572,253.1081883,59,4.1,"7/9/19",36.21,"8/5/19",66,4.6,0.01,17.92442861,13.60734217,9.715712251,10.74796761
"187","G1O2G5","PENME","F",21.35523,"PENME-DIME","ME","N",44.4663861,"28 to 12","6/20/19",66,6.2,1.174970868,189.5114303,66,6.2,"7/9/19",35.76,"8/5/19",68,7.1,0.006,31.0163648,30.57368777,12.22275778,12.91098372
