"","FishID","pop","sex","habitat_temp","pair","state","subgroup","latitude","accl_order","wam_date","wam_length","wam_mass","tenth_perc_MO2_mg_hr","tenth_perc_MO2_mg_hr_kg","ctmax_length","ctmax_mass","ctmax_date","ctmax","cam_date","cam_length","cam_mass","heart_mass","Glucose_MR_pmol_s","FA_MR_pmol_s","LKA_MR_pmol_s","Endogenous_MR_pmol_s"
"1","O1O2O3","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/12/19",65,6.3,5.524830681,0.000876957,65,6.3,"7/2/19",41.72,"7/25/19",70,7.6,0.009,37.74504065,34.00015416,33.37382878,15.45491917
"4","G1P4O5","PENME","M",21.35523,"PENME-DIME","ME","N",44.4663861,"12 to 28","6/11/19",66,6.4,5.052140075,0.000789397,66,6.4,"6/25/19",41.43,"7/24/19",67,7.1,0.007,33.04154866,23.02502918,10.69207762,6.621140155
"6","G2P3G6","OCME","M",18.06903,"OCME-PEAME","ME","N",44.421147,"12 to 28","6/11/19",48,4.9,5.959393785,0.001216203,48,4.9,"6/25/19",41.94,"7/24/19",67,7,0.006,27.95262256,19.85650262,3.680045045,1.095585185
"7","O2P3O4","EHMA","F",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/11/19",66,5.9,4.164257438,0.000705806,66,5.9,"6/24/19",42.29,"7/24/19",69,6.9,0.009,36.35274694,25.72768928,7.035249682,6.912953561
"8","R3G4P5","DIME","F",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/10/19",82,10.7,6.521514344,0.000609487,82,10.7,"6/24/19",41.55,"7/23/19",86,11.8,0.014,58.12634241,32.80988598,30.71598522,16.00901737
"9","P2O5R6","PEAME","F",15.63283,"OCME-PEAME","ME","N",44.29059,"12 to 28","6/11/19",71,10.6,5.460419026,0.000515134,71,10.6,"6/24/19",41.6,"7/24/19",76,11.3,0.015,53.14893347,39.44029016,30.84102295,24.31376535
"10","P2R3G5","EHMA","M",19.31422,"RVMA-EHMA","MA","N",41.82633,"12 to 28","6/12/19",61,6.9,4.524989859,0.000655796,61,6.9,"6/25/19",42.3,"7/25/19",73,10.2,0.013,55.20236524,33.38323729,24.5425879,16.34426364
"11","G1O2P4","DIME","M",16.92318,"PENME-DIME","ME","N",44.165011,"12 to 28","6/10/19",67,5.6,5.421615194,0.000968146,67,5.6,"6/24/19",41.88,"7/23/19",71,6.6,0.007,41.25790978,26.71705017,21.34223645,3.852125248
"12","R1O4R5","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/12/19",70,10,8.144574832,0.000814457,70,10,"6/25/19",42.4,"7/25/19",78,12.5,0.014,49.7678954,34.41522157,22.71428101,7.399295806
"14","P2P3O6","RVMA","F",23.49572,"RVMA-EHMA","MA","N",41.674169,"12 to 28","6/11/19",67,8.3,4.892164607,0.000589417,67,8.3,"6/24/19",41.91,"7/24/19",74,10.2,0.011,48.01684739,32.80137367,22.92420435,21.76215851
